TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude
10425,DPW Maintained,Schinus terebinthifolius :: Brazilian Pepper,1419 Haight St,2,Cutout,DPW,,90,3,37.7700941,-122.4456931
188921,DPW Maintained,Callistemon citrinus :: Lemon Bottlebrush,2001 25th St,16,Sidewalk: Property side : Yard,Private,,6,8,37.75195457,-122.3994817
643,DPW Maintained,Ficus microcarpa :: Chinese Banyan,3224 24th St,1,Cutout,Private,,18,3,37.7523982,-122.4167724
133773,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,2460 Scott St,1,Cutout,Private,,16,4,37.79246726,-122.4395335
137657,DPW Maintained,Crataegus laevigata :: English Hawthorn,2167 TURK BLVD,1,Cutout,Private,,6,0,37.77880441,-122.444757
209974,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,634 Miramar Ave,1,Cutout,Private,,6,3,37.72831263,-122.4581057
9999,DPW Maintained,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',126 Guerrero St,1,Cutout,DPW,,18,5,37.76921223,-122.4246565
185626,DPW Maintained,Myoporum laetum :: Myoporum,2100 Sunset Blvd,7,Sidewalk: Property side : Yard,Private,,2,0,37.7462208,-122.4945042
29149,DPW Maintained,Lophostemon confertus :: Brisbane Box,301X Jones St,1,Cutout,DPW,6/13/15 0:00,3,3,37.7839498,-122.4126863
82688,DPW Maintained,Crataegus laevigata :: English Hawthorn,1875 38th Ave,1,Cutout,Private,6/30/08 0:00,2,3,37.75197824,-122.4968327
200043,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,1598 Lane St,6,Cutout,Private,,2,0,37.73243786,-122.3895481
177625,DPW Maintained,Metrosideros excelsa :: New Zealand Xmas Tree,600 Italy Ave,2,Cutout,Private,,8,2,37.71603005,-122.4345534
240965,DPW Maintained,Syagrus romanzoffianum :: Queen Palm,95 Eagle St,5,Cutout,Private,,7,3,37.75842145,-122.4435561
106947,DPW Maintained,Prunus cerasifera :: Cherry Plum,2710 Baker St,2,Cutout,Private,7/2/14 0:00,1,3,37.79606292,-122.4453857
123907,DPW Maintained,Pittosporum undulatum :: Victorian Box,151 10th Ave,1,Cutout,Private,,17,4,37.78551,-122.4689918
237971,DPW Maintained,Prunus spp :: Cherry,3178 Cesar Chavez St,2,Cutout,Private,,3,3,37.74838115,-122.41303
212470,DPW Maintained,Prunus cerasifera :: Cherry Plum,101 Wildwood Way,2,Cutout,Private,,6,2,37.72754695,-122.4563102
238522,DPW Maintained,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,116 Moffitt St,1,Cutout,Private,,10,3,37.73743517,-122.4330686
246246,DPW Maintained,Pittosporum undulatum :: Victorian Box,90 Frederick St,1,Cutout,Private,,11,0,37.76753847,-122.4443178
89070,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,610 18th Ave,1,Cutout,DPW,3/3/08 0:00,2,3,37.77639009,-122.4768635
21565,DPW Maintained,Platanus x hispanica :: Sycamore: London Plane,1458 Sutter St,1,Cutout,DPW,,18,4,37.78729185,-122.4243405
89610,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',4201X Anza St,2,Cutout,DPW,11/5/15 7:01,3,3,37.77769248,-122.4933791
